"","Winter","Mean","Median","Standard deviation","N"
"231","2015-2016",0.136,0,0.218,18
"232","2015-2016",0.136,0,0.218,18
"233","2015-2016",0.136,0,0.218,18
"234","2015-2016",0.136,0,0.218,18
"235","2015-2016",0.136,0,0.218,18
"236","2015-2016",0.136,0,0.218,18
"237","2015-2016",0.136,0,0.218,18
"238","2015-2016",0.136,0,0.218,18
"239","2015-2016",0.136,0,0.218,18
"240","2015-2016",0.136,0,0.218,18
"241","2015-2016",0.136,0,0.218,18
"242","2015-2016",0.136,0,0.218,18
"243","2015-2016",0.136,0,0.218,18
"244","2015-2016",0.136,0,0.218,18
"245","2015-2016",0.136,0,0.218,18
"246","2015-2016",0.136,0,0.218,18
"247","2015-2016",0.136,0,0.218,18
"248","2015-2016",0.136,0,0.218,18
"249","2015-2016",0.136,0,0.218,18
"250","2015-2016",0.136,0,0.218,18
"251","2015-2016",0.136,0,0.218,18
"252","2015-2016",0.136,0,0.218,18
"253","2015-2016",0.136,0,0.218,18
"254","2015-2016",0.136,0,0.218,18
"255","2015-2016",0.136,0,0.218,18
"256","2015-2016",0.136,0,0.218,18
"257","2015-2016",0.136,0,0.218,18
"258","2015-2016",0.136,0,0.218,18
"259","2015-2016",0.136,0,0.218,18
"260","2015-2016",0.136,0,0.218,18
"261","2015-2016",0.136,0,0.218,18
"262","2015-2016",0.136,0,0.218,18
"263","2015-2016",0.136,0,0.218,18
"264","2015-2016",0.136,0,0.218,18
"265","2015-2016",0.136,0,0.218,18
"266","2015-2016",0.136,0,0.218,18
"267","2015-2016",0.136,0,0.218,18
"268","2015-2016",0.136,0,0.218,18
"269","2015-2016",0.136,0,0.218,18
"270","2015-2016",0.136,0,0.218,18
"271","2015-2016",0.136,0,0.218,18
"272","2015-2016",0.136,0,0.218,18
"273","2015-2016",0.136,0,0.218,18
"274","2015-2016",0.136,0,0.218,18
"275","2015-2016",0.136,0,0.218,18
"276","2015-2016",0.136,0,0.218,18
"277","2015-2016",0.136,0,0.218,18
"278","2015-2016",0.136,0,0.218,18
"279","2015-2016",0.136,0,0.218,18
"280","2015-2016",0.136,0,0.218,18
"281","2015-2016",0.136,0,0.218,18
"282","2015-2016",0.136,0,0.218,18
"283","2015-2016",0.136,0,0.218,18
"284","2015-2016",0.136,0,0.218,18
"285","2015-2016",0.136,0,0.218,18
"286","2015-2016",0.136,0,0.218,18
"287","2015-2016",0.136,0,0.218,18
"288","2015-2016",0.136,0,0.218,18
"289","2015-2016",0.136,0,0.218,18
"290","2015-2016",0.136,0,0.218,18
"291","2015-2016",0.136,0,0.218,18
"292","2015-2016",0.136,0,0.218,18
"293","2015-2016",0.136,0,0.218,18
"294","2015-2016",0.136,0,0.218,18
"295","2015-2016",0.136,0,0.218,18
"296","2015-2016",0.136,0,0.218,18
"297","2015-2016",0.136,0,0.218,18
"298","2015-2016",0.136,0,0.218,18
"299","2015-2016",0.136,0,0.218,18
"300","2015-2016",0.136,0,0.218,18
"301","2015-2016",0.136,0,0.218,18
"302","2015-2016",0.136,0,0.218,18
"303","2015-2016",0.136,0,0.218,18
"304","2015-2016",0.136,0,0.218,18
"305","2015-2016",0.136,0,0.218,18
"306","2015-2016",0.136,0,0.218,18
"307","2015-2016",0.136,0,0.218,18
"308","2015-2016",0.136,0,0.218,18
"309","2015-2016",0.136,0,0.218,18
"310","2015-2016",0.136,0,0.218,18
"311","2015-2016",0.136,0,0.218,18
"312","2015-2016",0.136,0,0.218,18
"313","2015-2016",0.136,0,0.218,18
"314","2015-2016",0.136,0,0.218,18
"315","2015-2016",0.136,0,0.218,18
"316","2015-2016",0.136,0,0.218,18
"317","2015-2016",0.136,0,0.218,18
"318","2015-2016",0.136,0,0.218,18
"319","2015-2016",0.136,0,0.218,18
"320","2015-2016",0.136,0,0.218,18
"321","2015-2016",0.136,0,0.218,18
"322","2015-2016",0.136,0,0.218,18
"323","2015-2016",0.136,0,0.218,18
"324","2015-2016",0.136,0,0.218,18
"325","2015-2016",0.136,0,0.218,18
"326","2015-2016",0.136,0,0.218,18
"327","2015-2016",0.136,0,0.218,18
"328","2015-2016",0.136,0,0.218,18
"329","2015-2016",0.136,0,0.218,18
